BG,res://assets/backgrounds/classroom_blurred.png,,,
CHAR,Maya,0.5,0.5,res://assets/characters/maya_normal.png
COVER,FALSE,,,
C_ZOOM,1.5,0.3,,
C_MOVE,0.5,0.4,0.3,
WAIT,0.5,,,
SAY,Maya,"Now, let’s learn about human reproduction!",res://assets/characters/maya_happy.png,
SAY,Maya,You've learned about the many parts of the reproductive system in the previous chapter.,res://assets/characters/maya_normal.png,
SAY,Maya,This is where you'll see their functions in action.,res://assets/characters/maya_normal.png,
SAY,Maya,"In girls, the ovaries release an egg cell into the fallopian tubes every month.",res://assets/characters/maya_normal.png,
SAY,Maya,The egg cell then travels through the fallopian tubes.,res://assets/characters/maya_happy.png,
SAY,Maya,"During sexual intercourse, a man inserts his penis into a woman’s vagina.",res://assets/characters/maya_normal.png,
SAY,Maya,"When a man ejaculates during this, he releases semen, a fluid full of sperm cells.",res://assets/characters/maya_normal.png,
SAY,Maya,"If there are sperm present in the fallopian tubes, the sperm and egg cells unite and they turn into a zygote.",res://assets/characters/maya_normal.png,
SAY,Maya,This zygote then goes to the uterus and eventually grows into a baby.,res://assets/characters/maya_happy.png,
SAY,Maya,"Usually, the baby is born after 9 months.",res://assets/characters/maya_happy.png,
SAY,Maya,"However, this does not always result in pregnancy, as only a small amount of sperm end up making it to the fallopian tubes.",res://assets/characters/maya_sad.png,
SAY,Maya,"Moreover, the chance for pregnancy is usually lower during a woman’s period, but it can still happen anyway! It’s just less likely.",res://assets/characters/maya_sad.png,
SAY,Maya,"Anyway, here’s another activity to see what we’ve learned!",res://assets/characters/maya_happy.png,
SCENE,res://scenes/mingames/2/minigame_2.tscn,,,
