BG,res://assets/backgrounds/classroom_blurred.png,,,
CHAR,Maya,0.5,0.5,res://assets/characters/maya_normal.png
COVER,FALSE,,,
C_ZOOM,1.5,0.3,,
C_MOVE,0.5,0.4,0.3,
WAIT,0.5,,,
SAY,Maya,Hello!,res://assets/characters/maya_happy.png,
SAY,Maya,"Let’s learn about how more of our body works, together!",res://assets/characters/maya_normal.png,
SAY,Maya,The reproductive system is the organ system that makes us able to reproduce.,res://assets/characters/maya_happy.png,
SAY,Maya,"Both boys and girls have a reproductive system, but they have very different parts and functions with each other.",res://assets/characters/maya_happy.png,
SAY,Maya,Let’s start off with the reproductive system for girls.,res://assets/characters/maya_happy.png,
SAY,Maya,"The first part we'll cover are the ovaries, which are responsible for making egg cells.",res://assets/characters/maya_normal.png,
SAY,Maya,Egg cells are sex cells that are produced by women.,res://assets/characters/maya_happy.png,
SAY,Maya,"There are two ovaries, one on each side, and they release an egg cell once a month.",res://assets/characters/maya_normal.png,
SAY,Maya,"Next, the fallopian tubes are long tubes that connect the ovaries to the uterus.",res://assets/characters/maya_normal.png,
SAY,Maya,This is where the egg cell travels through once it is released by the ovaries.,res://assets/characters/maya_normal.png,
SAY,Maya,"Next, the uterus is where a baby grows during pregnancy.",res://assets/characters/maya_happy.png,
SAY,Maya,"Lastly, the vagina is a tube that connects the uterus to the outside of the body.",res://assets/characters/maya_happy.png,
SAY,Maya,"Now, let's take a look at the reproductive system in boys.",res://assets/characters/maya_happy.png,
SAY,Maya,We'll start with the most obvious part - the penis.,res://assets/characters/maya_normal.png,
SAY,Maya,"The penis is a sex organ that is located on the outside of the body,",res://assets/characters/maya_happy.png,
SAY,Maya,"Next are the testicles, which are two organs that are responsible for producing sperm.",res://assets/characters/maya_normal.png,
SAY,Maya,Sperm are sex cells that are produced by males.,res://assets/characters/maya_happy.png,
SAY,Maya,The testes are covered by a pouch of skin called the scrotum to make sure that the temperature in the testicles is cool enough to produce sperm.,res://assets/characters/maya_normal.png,
SAY,Maya,"The sperm then travel to the epididymis, a tube where the sperm are stored.",res://assets/characters/maya_normal.png,
SAY,Maya,"They are stored there until ejaculation, a process where sperm exits the penis.",res://assets/characters/maya_happy.png,
SAY,Maya,"During ejaculation, the sperm travels to another tube called the vas deferens.",res://assets/characters/maya_happy.png,
SAY,Maya,"Since the sperm are sensitive, as they go through the vas deferens, the sperm are mixed with a fluid called semen to help with their survival.",res://assets/characters/maya_normal.png,
SAY,Maya,Accessory glands such as the seminal vesicles and the prostate gland produce the fluids needed for semen.,res://assets/characters/maya_happy.png,
SAY,Maya,"Lastly, the sperm exits through the urethra, a tube which carries both sperm and urine.",res://assets/characters/maya_normal.png,
SAY,Maya,"Now that we know all of this, let’s try an activity!",res://assets/characters/maya_happy.png,
SCENE,res://scenes/mingames/1/minigame_1.tscn,,,
